"SampleID","cluster"
"24411","Lactobacillus_iners"
"24422","Lactobacillus_crispatus_cluster"
"24464","Atopobium_vaginae"
"24487","Lactobacillus_iners"
"24504","Lactobacillus_crispatus_cluster"
"24535","Lactobacillus_iners"
"24537","Lactobacillus_iners"
"24541","Streptococcus_agalactiae"
"24567","Lactobacillus_iners"
"24578","Lactobacillus_iners"
"24580","Lactobacillus_crispatus_cluster"
"24597","Lactobacillus_iners"
"24601","Lactobacillus_jensenii/fornicalis/psittaci"
"24609","Lactobacillus_crispatus_cluster"
"24613","Lactobacillus_iners"
"24655","Lachnospiraceae_BVAB1"
"24673","Lactobacillus_iners"
"24688","Lactobacillus_crispatus_cluster"
"24690","Lactobacillus_iners"
"24692","Lactobacillus_iners"
"24705","Lactobacillus_crispatus_cluster"
"24707","Lactobacillus_crispatus_cluster"
"24738","Lactobacillus_iners"
"24745","Lactobacillus_crispatus_cluster"
"24763","Lactobacillus_crispatus_cluster"
"24771","Lactobacillus_iners"
